id_tempo;anomes_iso;mes;ano;anomes_formatado
311;198812;12;1988;12/1988
312;198900;0;1989;00/1989
313;198914;14;1989;14/1989
314;198913;13;1989;13/1989
315;198901;1;1989;01/1989
316;198902;2;1989;02/1989
317;198903;3;1989;03/1989
318;198904;4;1989;04/1989
319;198905;5;1989;05/1989
320;198906;6;1989;06/1989
321;198907;7;1989;07/1989
322;198908;8;1989;08/1989
323;198909;9;1989;09/1989
324;198910;10;1989;10/1989
325;198911;11;1989;11/1989
326;198912;12;1989;12/1989
327;199000;0;1990;00/1990
328;199014;14;1990;14/1990
329;190808;8;1908;08/1908
330;190809;9;1908;09/1908
331;190810;10;1908;10/1908
332;190811;11;1908;11/1908
333;190812;12;1908;12/1908
334;190900;0;1909;00/1909
335;190914;14;1909;14/1909
336;190913;13;1909;13/1909
337;190901;1;1909;01/1909
338;190902;2;1909;02/1909
339;190903;3;1909;03/1909
340;190904;4;1909;04/1909
341;190905;5;1909;05/1909
342;190906;6;1909;06/1909
343;190907;7;1909;07/1909
344;190908;8;1909;08/1909
345;190909;9;1909;09/1909
346;190910;10;1909;10/1909
347;190911;11;1909;11/1909
348;190912;12;1909;12/1909
349;191000;0;1910;00/1910
350;191014;14;1910;14/1910
351;191013;13;1910;13/1910
352;191001;1;1910;01/1910
353;191002;2;1910;02/1910
354;191003;3;1910;03/1910
355;191004;4;1910;04/1910
356;191005;5;1910;05/1910
357;191006;6;1910;06/1910
358;191007;7;1910;07/1910
359;191008;8;1910;08/1910
360;191009;9;1910;09/1910
361;191010;10;1910;10/1910
362;191011;11;1910;11/1910
363;191012;12;1910;12/1910
364;191100;0;1911;00/1911
365;191114;14;1911;14/1911
366;191113;13;1911;13/1911
367;191101;1;1911;01/1911
368;191102;2;1911;02/1911
369;191103;3;1911;03/1911
370;191104;4;1911;04/1911
371;191105;5;1911;05/1911
372;191106;6;1911;06/1911
373;191107;7;1911;07/1911
374;191108;8;1911;08/1911
375;191109;9;1911;09/1911
376;191110;10;1911;10/1911
377;191111;11;1911;11/1911
378;191112;12;1911;12/1911
379;191200;0;1912;00/1912
380;191214;14;1912;14/1912
381;191213;13;1912;13/1912
382;191201;1;1912;01/1912
383;191202;2;1912;02/1912
384;191203;3;1912;03/1912
385;191204;4;1912;04/1912
386;191205;5;1912;05/1912
387;191206;6;1912;06/1912
388;191207;7;1912;07/1912
389;191208;8;1912;08/1912
390;191209;9;1912;09/1912
391;191210;10;1912;10/1912
392;191211;11;1912;11/1912
393;191212;12;1912;12/1912
394;191300;0;1913;00/1913
395;191314;14;1913;14/1913
396;191313;13;1913;13/1913
397;191301;1;1913;01/1913
398;191302;2;1913;02/1913
399;191303;3;1913;03/1913
400;191304;4;1913;04/1913
401;191305;5;1913;05/1913
402;191306;6;1913;06/1913
403;191307;7;1913;07/1913
404;191308;8;1913;08/1913
405;191309;9;1913;09/1913
406;191310;10;1913;10/1913
407;191311;11;1913;11/1913
408;191312;12;1913;12/1913
409;191400;0;1914;00/1914
410;191414;14;1914;14/1914
411;191413;13;1914;13/1914
412;191401;1;1914;01/1914
413;191402;2;1914;02/1914
414;191403;3;1914;03/1914
415;191404;4;1914;04/1914
416;191405;5;1914;05/1914
417;191406;6;1914;06/1914
418;191407;7;1914;07/1914
419;191408;8;1914;08/1914
420;191409;9;1914;09/1914
421;191410;10;1914;10/1914
422;191411;11;1914;11/1914
423;191412;12;1914;12/1914
424;191500;0;1915;00/1915
425;191514;14;1915;14/1915
426;191513;13;1915;13/1915
427;191501;1;1915;01/1915
428;191502;2;1915;02/1915
429;191503;3;1915;03/1915
430;191504;4;1915;04/1915
431;191505;5;1915;05/1915
432;191506;6;1915;06/1915
433;191507;7;1915;07/1915
434;191508;8;1915;08/1915
435;191509;9;1915;09/1915
436;191510;10;1915;10/1915
437;191511;11;1915;11/1915
438;191512;12;1915;12/1915
439;191600;0;1916;00/1916
440;191614;14;1916;14/1916
441;191613;13;1916;13/1916
442;191601;1;1916;01/1916
443;191602;2;1916;02/1916
444;191603;3;1916;03/1916
445;191604;4;1916;04/1916
446;191605;5;1916;05/1916
447;191606;6;1916;06/1916
448;191607;7;1916;07/1916
449;191608;8;1916;08/1916
450;191609;9;1916;09/1916
451;191610;10;1916;10/1916
452;191611;11;1916;11/1916
453;191612;12;1916;12/1916
454;191700;0;1917;00/1917
455;191714;14;1917;14/1917
456;191713;13;1917;13/1917
457;191701;1;1917;01/1917
458;196402;2;1964;02/1964
459;196403;3;1964;03/1964
460;196404;4;1964;04/1964
461;196405;5;1964;05/1964
462;196406;6;1964;06/1964
463;196407;7;1964;07/1964
464;196408;8;1964;08/1964
465;196409;9;1964;09/1964
466;196410;10;1964;10/1964
467;196411;11;1964;11/1964
468;196412;12;1964;12/1964
469;196500;0;1965;00/1965
470;196514;14;1965;14/1965
471;196513;13;1965;13/1965
